Years,Value
1985.333333,62.08
1985.416667,68.11
1985.5,74.05
1985.583333,71.02
1985.666667,62.73
1985.75,54.3
1985.833333,39.51
1985.916667,28.81
1986,34.68
1986.083333,35.85
1986.166667,46.18
1986.25,52.86
1986.333333,61.09
1986.416667,70.41
1986.5,73.51
1986.583333,71.73
1986.666667,63.7
1986.75,54.01
1986.833333,41.4
1986.916667,34.43
1987,31.44
1987.083333,37.38
1987.166667,42.57
1987.25,53.53
1987.333333,62.96
1987.416667,70.25
1987.5,73.27
1987.583333,71.87
1987.666667,65.25
1987.75,52.95
1987.833333,43.97
1987.916667,34.54
1988,27.79
1988.083333,33.69
1988.166667,42.4
1988.25,51.82
1988.333333,61.21
1988.416667,70.88
1988.5,74.79
1988.583333,73.67
1988.666667,64.6
1988.75,53.96
1988.833333,43.29
1988.916667,33.46
1989,34.09
1989.083333,29.17
1989.166667,42.67
1989.25,52.88
1989.333333,60.46
1989.416667,68.13
1989.5,74.23
1989.583333,71.31
1989.666667,64.08
1989.75,54.34
1989.833333,42.93
1989.916667,27.73
1990,36.5
1990.083333,36.7
1990.166667,44.74
1990.25,52.52
1990.333333,58.86
1990.416667,70.23
1990.5,73.26
1990.583333,72.28
1990.666667,67.35
1990.75,53.98
1990.833333,44.92
1990.916667,30.83
1991,29.48
1991.083333,39.81
1991.166667,43.32
1991.25,52.54
1991.333333,61.97
1991.416667,69.08
1991.5,73.89
1991.583333,72.99
1991.666667,64.9
1991.75,54.75
1991.833333,39.43
1991.916667,35.74
1992,33.62
1992.083333,39.7
1992.166667,44.71
1992.25,52.54
1992.333333,61.16
1992.416667,67.44
1992.5,71.22
1992.583333,69.84
1992.666667,64.67
1992.75,54.54
1992.833333,40.06
1992.916667,31.75
1993,30.47
1993.083333,31.14
1993.166667,41.79
1993.25,49.91
1993.333333,60.89
1993.416667,67.21
1993.5,72.16
1993.583333,71.89
1993.666667,63.3
1993.75,52.97
1993.833333,39.22
1993.916667,34.2
1994,29.34
1994.083333,31.87
1994.166667,44.51
1994.25,52.66
1994.333333,60.67
1994.416667,70.95
1994.5,73.62
1994.583333,72.21
1994.666667,65.55
1994.75,54.21
1994.833333,42.57
1994.916667,36.23
1995,33.08
1995.083333,37.36
1995.166667,43.34
1995.25,49.41
1995.333333,58.64
1995.416667,67.55
1995.5,73.54
1995.583333,74.32
1995.666667,64.69
1995.75,54.45
1995.833333,42.04
1995.916667,33.42
1996,29.7
1996.083333,35.69
1996.166667,39.02
1996.25,50.65
1996.333333,60.98
1996.416667,69.87
1996.5,73.63
1996.583333,72.43
1996.666667,63.46
1996.75,53.65
1996.833333,39.63
1996.916667,33.91
1997,29.95
1997.083333,36.05
1997.166667,44.67
1997.25,47.91
1997.333333,59.4
1997.416667,68.31
1997.5,73.18
1997.583333,71.74
1997.666667,66.42
1997.75,53.92
1997.833333,40.87
1997.916667,34
1998,34.99
1998.083333,38.71
1998.166667,41.34
1998.25,51.06
1998.333333,62.47
1998.416667,68.13
1998.5,75.49
1998.583333,74.03
1998.666667,68.99
1998.75,55.13
1998.833333,44.91
1998.916667,35.55
1999,33.78
1999.083333,39.49
1999.166667,42.8
1999.25,51.55
1999.333333,60.06
1999.416667,68.31
1999.5,74.3
1999.583333,72.91
1999.666667,64.35
1999.75,54.75
1999.833333,48.11
1999.916667,36.1
2000,33.57
2000.083333,39.78
2000.166667,46.04
2000.25,52.59
2000.333333,63.14
2000.416667,69.03
2000.5,73.87
2000.583333,74.05
2000.666667,65.57
2000.75,55.09
2000.833333,38.03
2000.916667,28.44
2001,31.35
2001.083333,33.98
2001.166667,41.49
2001.25,53.08
2001.333333,62.82
2001.416667,69.24
2001.5,74.48
2001.583333,74.3
2001.666667,65.7
2001.75,54.37
2001.833333,47.41
2001.916667,36.12
2002,34.48
2002.083333,36.39
2002.166667,39.54
2002.25,53.49
2002.333333,59.29
2002.416667,70.86
2002.5,75.85
2002.583333,72.86
2002.666667,66.85
2002.75,51.84
2002.833333,41.97
2002.916667,35.08
2003,32.81
2003.083333,32.79
2003.166667,43.3
2003.25,51.89
2003.333333,60.98
2003.416667,68.05
2003.5,75.47
2003.583333,74.66
2003.666667,64.96
2003.75,56.55
2003.833333,42.35
2003.916667,35.29
2004,30.34
2004.083333,33.57
2004.166667,47.41
2004.25,52.68
2004.333333,61.92
2004.416667,68.09
2004.5,72.9
2004.583333,70.16
2004.666667,65.66
2004.75,55.36
2004.833333,43.99
2004.916667,35.06
2005,33.39
2005.083333,37.94
2005.166667,42.31
2005.25,52.27
2005.333333,59.56
2005.416667,69.21
2005.5,75.31
2005.583333,73.2
2005.666667,67.37
2005.75,55.38
2005.833333,45.01
2005.916667,32.7
2006,38.93
